surface_id,tracker_id,marketplace,country,provider_family,access_state,lifecycle,source_reference
ATLAS-SURFACE-012,12,Vivastreet.fr,Francia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-013,13,ParuVendu.fr,Francia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-014,14,Topannonces.fr,Francia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-015,15,Economique.fr,Francia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-016,16,Locanto.fr,Francia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-017,17,eBay.fr,Francia,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-018,18,Milanuncios.com,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-019,19,Wallapop,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-020,20,Trovit.es,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-021,21,Mitula,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-022,22,Anuto,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-023,23,Clasf,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-024,24,Locanto.es,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-025,25,Tablondeanuncios.com,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-026,26,Anuncios.es,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-027,27,Tuad.es,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-028,28,Anunciosparatodos.es,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-029,29,Ciudadanuncios.es,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-030,30,Idealista.com,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-031,31,Yaencontre.com,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-032,32,Coches.net,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-033,33,eBay.es,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-034,34,Bidspirit,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-035,35,Gobid.es,Spagna,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-036,36,Kleinanzeigen.de,Germania,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-037,37,Markt.de,Germania,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-038,38,Clasf.de,Germania,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-039,39,Hood.de,Germania,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-040,40,Global-free-classified-ads,Germania,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-041,41,DOSKIO.de,Germania,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-042,42,Autobid.de,Germania,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-043,43,Copart.de,Germania,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-044,44,Gumtree.com,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-045,45,Freeads.co.uk,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-046,46,UKclassifieds.co.uk,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-047,47,Friday-Ad,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-048,48,NomTimes,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-049,49,Okoloo,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-050,50,Locanto.co.uk,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-051,51,Facebook Marketplace,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-052,52,Rightmove.co.uk,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-053,53,Zoopla,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-054,54,OnTheMarket,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-055,55,Autotrader.co.uk,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-056,56,Pistonheads.com,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-057,57,eBay.co.uk,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-058,58,Depop,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-059,59,Vinted,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-060,60,Vestiaire Collective,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
ATLAS-SURFACE-061,61,Videdressing,UK,UNKNOWN,UNKNOWN,UNKNOWN,PHOENIX_ATLAS_GLOBAL_TRACKER_001_061.csv
